idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper
a	normal	»ù±¾¹¥»÷	1	1	0				
b	endureraid	Í»»÷¿ËĞÇ	1	1	0				
c	shutout	ÕÚ¶Ï	0	1	2				"hardreinforce,sacrifice,towerdomination"
d	hardreinforce	¼Ó¹Ì±£»¤	0	1	2			shutout	
e	harmactivate	Î£ÏÕ¼¤»î	0	3	2	1	1	drainclaw	geysersmash
f	towerdomination	¼ıËş¿ØÖÆ	0	1	2			shutout	
g	geysersmash	¼¤Åç·ÛËé	0	3	2	2	2	"drainclaw,hornetsting,harmactivate"	
h	intensify	¼¤»¯	0	3	2	1	1		"knockimpact,earthbind,solidstrike,shockwave"
i	knockimpact	´ò»÷Õğº³	0	3	2	1	1	intensify	earthbind
j	earthbind	´óµØ²øÈÆ	0	3	3	2	1	"intensify,knockimpact"	
k	solidstrike	Äı¼¯Õ¶	0	3	2	1	1	intensify	shockwave
l	shockwave	³å»÷²¨	0	3	2	2	2	"intensify,solidstrike"	
m	drainclaw	ÎüÑª×¦	0	3	2	1	1		"hornetsting,harmactivate,geysersmash,backhandblow,cyclonedisaster"
n	hornetsting	·ä´Ì	0	3	2	2	2	drainclaw	geysersmash
o	backhandblow	·´ÊÖ¹¥»÷	0	3	2	1	1	drainclaw	cyclonedisaster
p	cyclonedisaster	Ğı·çÔÖÄÑ	0	3	1	2	3	"drainclaw,backhandblow"	
q	sacrifice	ÎşÉü	0	1	2			shutout	
