idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper
a	normal	基本攻撃	1	1	0				
b	dualstrike	双重冲击	0	3	2	1	1		"flashstinger,strikedown,finishthrust,shiningcross,obtainprotect,erasemagic,acceleration,vigoraid"
c	flashstinger	闪光急刺	0	3	3	2	1	dualstrike	finishthrust
d	strikedown	颠倒疾驰	0	3	2	1	1	dualstrike	finishthrust
e	finishthrust	终结穿刺	0	3	2	1	1	"dualstrike,flashstinger,strikedown"	
f	shiningcross	闪光十字	0	3	2	1	1	dualstrike	"obtainprotect,erasemagic,acceleration,vigoraid"
g	obtainprotect	获得庇佑	0	3	1	1	2	"dualstrike,shiningcross"	
h	erasemagic	消魔	0	3	1	1	2	"dualstrike,shiningcross"	
i	acceleration	加速	0	3	1	1	2	"dualstrike,shiningcross"	
j	vigoraid	增加活力	0	3	1	1	2	"dualstrike,shiningcross"	
k	reversekick	后旋踢	0	3	2	1	1		"penetratethrust,aerialfall,rapidfendez-vous"
l	penetratethrust	斩击	0	3	1	2	3	reversekick	"aerialfall,rapidfendez-vous"
m	aerialfall	空中坠落	0	3	3	1	1	"reversekick,penetratethrust"	
n	rapidfendez-vous	疾速长刺	0	3	3	1	1	"reversekick,penetratethrust"	
