idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper
a	normal	»ù±¾¹¥»÷	1	1	0				
b	chant	Ó½³ª	1	3	0	2	2		
c	fire	»ğÇò	0	3	2	1	1		"firelance,sparkflare,hellfire,meteorimpact,divineshield"
d	firelance	»ğÑæÇ¹	0	3	2	2	2	fire	"hellfire,divineshield"
e	sparkflare	»ğ»¨±Å·¢	0	3	2	2	2	fire	"hellfire,meteorimpact"
f	hellfire	µØÓüÑæ»ğ	0	3	3	2	2	"fire,firelance,sparkflare"	
g	icebolt	±ù±©	0	3	2	1	1		"icejavelin,freezingwave,blizzardchares,divineshield,gravitycaptcher"
h	icejavelin	º®±ùÇ¹	0	3	2	2	2	icebolt	"blizzardchares,divineshield"
i	freezingwave	±ù¶³²¨	0	3	2	2	2	icebolt	"blizzardchares,gravitycaptcher"
j	blizzardchares	±ùÑ©Óµ±§	0	3	3	2	2	"icebolt,icejavelin,freezingwave"	
k	lightning	ÉÁÀ×	0	3	2	1	1		"lightningspear,thunderbolt,judgementray,meteorimpact,gravitycaptcher"
l	lightningspear	ÉÁÀ×Ã¬	0	3	2	2	2	lightning	"judgementray,gravitycaptcher"
m	thunderbolt	À×±©	0	3	2	2	2	lightning	"judgementray,meteorimpact"
n	judgementray	ÉóÅĞÉäÏß	0	3	3	2	2	"lightning,lightningspear,thunderbolt"	
o	meteorimpact	ÔÉÊ¯³å»÷	0	3	3	2	2	"fire,sparkflare,thunderbolt,lightning"	
p	divineshield	Ê¥¹â¶Ü	0	3	3	2	2	"fire,firelance,icebolt,icejavelin"	
q	gravitycaptcher	ÖØÁ¦³¡	0	3	3	2	2	"icebolt,freezingwave,lightning,lightningspear"	
