idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper
a	normal	»ù±¾¹¥»÷	1	1	0				
b	endurepain	Í´³ş¿ËĞÇ	1	1	0				
c	sonicboom	Òô±¬¹¥»÷	0	3	2	1	1		"forceimpact,crumblestorm"
d	forceimpact	Á¦Á¿³å»÷	0	3	3	1	1	sonicboom	crumblestorm
e	crumblestorm	·ÛËé±©·ç	0	3	3	2	2	forceimpact	
f	blazeslash	³ãÁÒÕ¶	0	3	2	1	1		"slumattack,guardreinforce,earthstamp,shieldbash"
g	slumattack	ÃÍ»÷	0	3	2	1	1	blazeslash	earthstamp
h	earthstamp	´óµØÖ®¶Ù	0	3	2	2	2	"slumattack,blazeslash"	
i	guardreinforce	¼ÓÇ¿±£»¤	0	3	2	1	1	blazeslash	shieldbash
j	shieldbash	¶ÜÅÆÅ­»÷	0	3	2	2	2	"guardreinforce,blazeslash"	
k	smash	Ëé»÷	0	3	2	1	1		"strikesmash,behemostail,extendblade,attackreinforce,heavysmash,dragontail,swordrampage"
l	strikesmash	³å»÷Õ¶	0	3	2	1	1	smash	heavysmash
m	heavysmash	ÖØÑ¹Õ¶	0	3	2	2	2	"strikesmash,smash"	
n	behemostail	¾ŞÊŞ´«³Ğ	0	3	2	1	1	smash	dragontail
o	dragontail	¾ŞÁú´«³Ğ	0	3	2	2	2	"behemostail,smash"	
p									
q	extendblade	ÉìÕÅ½£ÈĞ	0	3	2	1	1	smash	swordrampage
r	swordrampage	±©Ìø½£	0	3	2	2	2	"extendblade,smash"	
s									
t	attackreinforce	¼ÓÇ¿¹¥»÷	0	3	2	1	1	smash	
u									
